image_number,soho_x,soho_y,soho_z,soho_qw,soho_qx,soho_qy,soho_qz,cam_x,cam_y,cam_z,cam_qw,cam_qx,cam_qy,cam_qz
28,347.11793485998004,937.0853549107183,111.19439172761614,0.6365967484405918,-0.7655307594636341,0.05217566962676631,-0.07736236610197422,-89.61015307371618,-516.0772789277877,323.35935498608853,0.6501929643667116,-0.7582906717152663,0.01712091746853237,-0.04417284757262003
29,-118.53903813279501,900.6503422548325,108.96432428865616,-0.013321503053014827,-0.14291235059422408,0.017388055953532166,0.989492927268406,-89.62003883195304,-516.088679200284,323.33942610815785,0.6501080588243134,-0.7583747222242263,0.016988398525061062,-0.04403052189748046
30,-83.32323555915167,780.7902743691965,111.37702757282648,0.6350817309525446,-0.753106437268677,-0.14707806930973796,0.08871262978246071,-89.59709882458282,-516.0849601489876,323.34726629474346,0.6501467217724757,-0.7583341805283826,0.017037386600231276,-0.04413885214506534
31,-33.226405176645514,668.3806197202056,116.29749579985668,-0.2508092758829379,-0.14446334416164586,0.01229537695203978,0.9571174813105847,-89.62735481826955,-516.0727378319935,323.3611770187772,0.6502227444614527,-0.7582761869228016,0.017274103766150756,-0.04392279897626044
32,512.9309903479749,515.2342770187912,117.9347017005603,0.5160290435068606,-0.6870060438496253,0.36056621070409683,-0.3629445269872106,-199.48101975372313,-397.84376312106326,322.1353245205241,0.584508134240783,-0.7508770255717832,0.2325669772206666,-0.20111323820492952
33,512.9454863274365,515.1883687919676,117.92026346952599,0.515825407241653,-0.6871563664562303,0.36032468760857606,-0.3631892024584924,-178.03499669132108,-414.7237044729877,350.1269846042796,0.3436306328069022,0.28400233587127144,0.6236183210144365,0.64215329253343
34,512.946108532224,515.2181235690834,117.90033651991678,0.5159601825793491,-0.6869984672232917,0.36042561500810794,-0.36319632717245354,-203.89030683802474,-404.6654819610953,325.2748440067486,0.6280403577663591,-0.6998421249693323,0.22423241618851683,-0.2559416587141939
35,512.9247332215574,515.2204185206134,117.92401460538137,0.5159204531718797,-0.6870946046655497,0.36055454767277595,-0.36294284452361697,-204.19908977051585,-403.0195613852761,324.1000123338213,0.6676250433995415,-0.6878886617582638,0.18573812543123125,-0.21584100447198964
36,483.4796684938047,538.9870327864451,118.9221271857504,0.5949112694715663,-0.7644530990940462,0.1628432079758186,-0.18754767489196458,-198.90559328752772,-393.554790286866,320.95172304423784,0.5866808528800744,-0.7563582917107089,0.21762366986700718,-0.1907030407150938
37,483.4075552098794,538.9511123151152,118.9114126396486,0.5941487181046021,-0.7644028926087648,0.16312429009695031,-0.18991046449939836,-196.19378996650232,-395.4625691916827,320.8065893541623,0.571036764754727,-0.739938570635218,0.2670241869973215,-0.23474669016449398
38,526.9331254671498,534.5883451101255,118.16876167403815,0.03623817255538635,-0.16801149465856574,0.04030953508107198,0.9842936929057244,114.98240697240546,-388.6240257416459,323.46261923324624,0.6197563572555284,-0.7611730030214643,0.12549505330882404,-0.1441135271501578
39,571.6984261716282,835.1077626489829,114.66996168737103,0.63047314400435,-0.7340844046882613,0.16587347251446807,-0.1900255051269258,-161.84862854478965,-202.01749127651195,349.71392315557097,0.33908866653449227,0.2767499351468923,0.640801825812842,0.6307149670484908
40,571.6840279172594,835.122411156379,114.72314033231443,0.6306884685673904,-0.7340186534782353,0.16587219606243886,-0.18956552042906447,-188.91255641808698,-190.25898300008654,323.43339327989037,0.6512093213226726,-0.7145417405742037,0.17047819859066848,-0.19050906698877135
41,432.8293683056321,298.67542813645184,119.63838990722984,-0.46984629889298574,0.6077267466382126,-0.4841886273083845,0.4188962043541566,-662.3634064845097,522.2308509229969,172.56036396433575,0.4218037333620269,-0.49884880857470787,0.5394967191334445,-0.5312012488216684
42,432.8206324914266,298.65684912391316,119.64558209178286,-0.46980511146551834,0.6077021267090277,-0.4841607720950029,0.41901029724646077,-670.9569439899155,158.2065334896107,175.1538335356919,-0.4821979065446457,0.6089960882672101,-0.4342079869007833,0.4561495012720794
43,174.89261420064665,667.9430434749007,116.1897187951021,0.5791559091301425,-0.7370476923644586,0.24197838084650278,-0.25057053957472675,-683.021842505418,-35.46208660530337,174.65493277010177,0.5988928216301074,-0.6646679968215486,0.3179075548288034,-0.31381304750428973
44,174.87989764340557,667.9526589009935,116.17876453001817,0.5789870702543679,-0.7369892782544664,0.24202831329513166,-0.2510837943391374,-473.93232200043826,-237.03020805522297,174.7980597104673,0.631904069374583,-0.7113362550125307,0.21168823551942523,-0.22335189803371355
45,174.89122382608082,667.9302673439589,116.17512336521422,0.5789167534361319,-0.7370108107063746,0.24196203303816935,-0.25124655631657333,-473.39961415751424,-246.1000187038101,176.22395270096456,0.6830191945958158,-0.6543234606920382,0.20232000957901677,-0.2537955916197608
46,174.8825598794108,667.9557734324978,116.19750821728886,0.5787529120532893,-0.7370406195862557,0.24197718058956127,-0.25152183989401955,-477.453804385451,-245.43331584718945,175.89242572815826,0.7042729454601221,-0.6753964053067136,0.12607241025791777,-0.17873181407755215
47,-88.68249777628235,774.1998585423024,111.47672873372912,0.638991189284586,-0.7635965951584469,-0.08504146145544389,0.03712747921175682,-477.4420469244115,-245.4623462968471,175.89196089906937,0.704233137840064,-0.675509671949205,0.1260682638656776,-0.1784633394199182
48,140.9837095905173,805.1304456582908,111.77494825449344,-0.016062563332301386,-0.1424222358377056,0.0168977993248746,0.9895313866554011,-477.40721893474273,-245.47510204535007,175.89510552268592,0.7043107967945946,-0.6753536286744082,0.12630836306253607,-0.17857764466846232
49,-105.03857401312438,900.5795388793925,110.59537352185531,0.5727520862833072,-0.7260116081484713,0.25047513541706945,-0.2865735490752601,-477.38531142923443,-245.47417321363358,175.90028918950253,0.7045529607068327,-0.6750667320599948,0.1265758466410527,-0.17851775226059807
50,42.89861488627281,745.279889800802,112.45672752189017,-0.023933073900805842,-0.13865862571102905,0.019760645561214044,0.9898537823217081,-477.22275092763795,-245.57044123924734,175.89485407961786,0.7045279777158636,-0.6752663186276171,0.12665229693840038,-0.1778058582356851
